hex,lat,lon,n_focos,brillo_medio,brillo_max,frp_medio,frp_max,brillo_t31_medio,pct_noche,pct_verano,pct_conf_alta,n_anios_activo,mes_pico,elevacion,temp_media,precip_anual,viento_medio,humedad_relativa,cobertura_veg,dist_asentamiento_km,dist_ruta_km
85cfa82bfffffff,-48.668,-73.022,10.0,339.276,350.95,9.634,28.78,306.207,0.0,0.9,0.0,3.0,1.0,1045.0,-1.18,1197.2,6.85,91.12,pastizal,74.519,135.012
85cfa833fffffff,-48.913,-73.16,4.0,324.68,337.02,2.61,4.22,295.428,0.25,0.0,0.0,2.0,11.0,443.0,-1.18,1197.2,6.85,91.12,nieve_hielo,50.66,124.731
85cfa83bfffffff,-48.821,-72.991,8.0,330.931,346.1,7.3,14.94,284.408,0.125,0.125,0.0,3.0,10.0,252.0,-1.18,1197.2,6.85,91.12,agua,57.351,124.222
85cfa843fffffff,-48.905,-72.227,1.0,330.22,330.22,4.65,4.65,291.64,0.0,0.0,0.0,1.0,10.0,663.0,3.29,412.45,6.51,77.65,pastizal,67.514,71.787
85cfa847fffffff,-48.847,-72.426,9.0,346.511,367.0,97.169,334.05,303.013,0.0,0.889,0.222,2.0,2.0,286.0,3.29,412.45,6.51,77.65,suelo_desnudo,63.518,87.777
85cfa853fffffff,-49.057,-72.193,15.0,333.946,358.02,16.547,79.44,282.724,0.333,0.0,0.0,2.0,8.0,359.0,3.29,412.45,6.51,77.65,pastizal,58.934,60.349
85cfa857fffffff,-48.999,-72.393,10.0,352.517,367.0,10.973,19.77,292.556,0.0,0.0,0.3,2.0,9.0,252.0,3.29,412.45,6.51,77.65,agua,51.543,76.231
85cfa863fffffff,-48.635,-72.656,3.0,327.12,328.33,4.71,5.81,291.14,0.0,0.0,0.0,2.0,9.0,991.0,1.69,777.45,6.15,86.56,pastizal,79.267,114.229
85cfa867fffffff,-48.575,-72.854,87.0,336.114,367.0,12.954,119.4,294.293,0.276,1.0,0.126,2.0,1.0,1298.0,1.69,777.45,6.15,86.56,agua,84.172,128.189
85cfa873fffffff,-48.787,-72.624,5.0,333.364,339.35,5.116,8.15,281.826,0.0,0.0,0.0,2.0,10.0,1508.0,1.69,777.45,6.15,86.56,agua,63.435,103.434
85cfa877fffffff,-48.728,-72.823,31.0,336.898,367.0,9.672,51.89,290.916,0.194,0.645,0.129,4.0,2.0,481.0,1.69,777.45,6.15,86.56,pastizal,67.299,119.17
85cfa87bfffffff,-48.694,-72.458,15.0,332.629,367.0,42.861,334.05,296.639,0.4,1.0,0.0,1.0,2.0,855.0,1.69,777.45,6.15,86.56,bosque,77.451,98.397
85cfa883fffffff,-49.432,-72.866,5.0,325.438,341.89,5.818,11.27,278.43,0.4,0.0,0.0,1.0,9.0,252.0,-0.33,1708.2,7.21,86.56,agua,11.063,71.87
85cfa88bfffffff,-49.339,-72.697,1.0,325.26,325.26,2.73,2.73,282.23,0.0,1.0,0.0,1.0,2.0,1123.0,-0.33,1708.2,7.21,86.56,suelo_desnudo,13.706,67.68
85cfa88ffffffff,-49.279,-72.898,1.0,327.1,327.1,1.66,1.66,276.94,0.0,0.0,0.0,1.0,7.0,535.0,-0.33,1708.2,7.21,86.56,pastizal,5.851,83.327
85cfa897fffffff,-49.526,-73.037,2.0,337.75,342.62,44.46,56.92,303.815,0.0,1.0,0.0,1.0,1.0,531.0,-0.33,1708.2,7.21,86.56,agua,24.052,77.561
85cfa8cbfffffff,-49.209,-72.16,5.0,339.432,345.49,10.652,13.71,299.1,0.0,0.0,0.0,1.0,3.0,314.0,3.54,401.5,6.59,73.95,pastizal,54.528,50.988
