hex,lat,lon,n_focos,riesgo_alto,proba_oof,elevacion,temp_media,precip_anual,viento_medio,humedad_relativa,dist_asentamiento_km,dist_ruta_km,cobertura_veg
85ceaa0ffffffff,-40.843,-73.105,72.0,0,0.5504754,100.0,10.5,1226.4,2.31,85.56,109.785,99.174,pastizal
85ceaa13fffffff,-41.142,-73.053,18.0,0,0.3139309,152.0,10.5,1226.4,2.31,85.56,113.963,104.924,pastizal
85ceaa17fffffff,-41.076,-73.224,110.0,0,0.78346324,121.0,10.5,1226.4,2.31,85.56,124.942,115.26,cultivo
85ceaa1bfffffff,-41.058,-72.908,13.0,0,0.18818133,73.0,10.5,1226.4,2.31,85.56,99.189,89.929,agua
85ceaa23fffffff,-40.71,-73.446,32.0,0,0.36600408,165.0,10.83,1186.25,3.94,83.86,138.019,127.027,bosque
85ceaa27fffffff,-40.643,-73.617,7.0,0,0.06740269,534.0,10.83,1186.25,3.94,83.86,152.786,141.708,bosque
85ceaa2bfffffff,-40.628,-73.301,269.0,1,0.6128118,119.0,10.83,1186.25,3.94,83.86,126.343,115.226,bosque
85ceaa2ffffffff,-40.561,-73.471,12.0,0,0.37799928,136.0,10.83,1186.25,3.94,83.86,141.534,130.375,bosque
85ceaa33fffffff,-40.86,-73.421,74.0,0,0.56420517,112.0,10.83,1186.25,3.94,83.86,136.475,125.827,bosque
85ceaa37fffffff,-40.793,-73.592,4.0,0,0.025276383,828.0,10.83,1186.25,3.94,83.86,150.376,139.54,bosque
85ceaa3bfffffff,-40.777,-73.276,234.0,1,0.7670339,82.0,10.83,1186.25,3.94,83.86,123.638,112.79,pastizal
85ceaa43fffffff,-40.892,-72.621,49.0,0,0.08624682,286.0,9.41,1142.45,2.43,82.84,70.415,60.498,pastizal
85ceaa47fffffff,-40.826,-72.791,33.0,0,0.07976322,174.0,9.41,1142.45,2.43,82.84,83.206,72.66,bosque
